Statistic Label,Year,Age Group,Sex,Education Attainment Level,NUTS 2 Region,UNIT,Unemployment rate (%)
Annual unemployment rate,2019,15 - 24 years,Male,Levels of Education (Levels  0-8),Ireland,%,14.1
Annual unemployment rate,2019,15 - 24 years,Female,Levels of Education (Levels  0-8),Ireland,%,10.7
Annual unemployment rate,2019,25 - 54 years,Male,Levels of Education (Levels  0-8),Ireland,%,4.3
Annual unemployment rate,2019,25 - 54 years,Female,Levels of Education (Levels  0-8),Ireland,%,4
Annual unemployment rate,2019,55 - 74 years,Male,Levels of Education (Levels  0-8),Ireland,%,3.2
Annual unemployment rate,2019,55 - 74 years,Female,Levels of Education (Levels  0-8),Ireland,%,3.3
Annual unemployment rate,2020,15 - 24 years,Male,Levels of Education (Levels  0-8),Ireland,%,15.8
Annual unemployment rate,2020,15 - 24 years,Female,Levels of Education (Levels  0-8),Ireland,%,15.9
Annual unemployment rate,2020,25 - 54 years,Male,Levels of Education (Levels  0-8),Ireland,%,4.8
Annual unemployment rate,2020,25 - 54 years,Female,Levels of Education (Levels  0-8),Ireland,%,4.8
Annual unemployment rate,2020,55 - 74 years,Male,Levels of Education (Levels  0-8),Ireland,%,4
Annual unemployment rate,2020,55 - 74 years,Female,Levels of Education (Levels  0-8),Ireland,%,3.7
Annual unemployment rate,2021,15 - 24 years,Male,Levels of Education (Levels  0-8),Ireland,%,15.1
Annual unemployment rate,2021,15 - 24 years,Female,Levels of Education (Levels  0-8),Ireland,%,16.3
Annual unemployment rate,2021,25 - 54 years,Male,Levels of Education (Levels  0-8),Ireland,%,5.3
Annual unemployment rate,2021,25 - 54 years,Female,Levels of Education (Levels  0-8),Ireland,%,4.8
Annual unemployment rate,2021,55 - 74 years,Male,Levels of Education (Levels  0-8),Ireland,%,4.9
Annual unemployment rate,2021,55 - 74 years,Female,Levels of Education (Levels  0-8),Ireland,%,4.9
Annual unemployment rate,2022,15 - 24 years,Male,Levels of Education (Levels  0-8),Ireland,%,9.3
Annual unemployment rate,2022,15 - 24 years,Female,Levels of Education (Levels  0-8),Ireland,%,9.6
Annual unemployment rate,2022,25 - 54 years,Male,Levels of Education (Levels  0-8),Ireland,%,3.7
Annual unemployment rate,2022,25 - 54 years,Female,Levels of Education (Levels  0-8),Ireland,%,3.9
Annual unemployment rate,2022,55 - 74 years,Male,Levels of Education (Levels  0-8),Ireland,%,3.5
Annual unemployment rate,2022,55 - 74 years,Female,Levels of Education (Levels  0-8),Ireland,%,3.9
Annual unemployment rate,2023,15 - 24 years,Male,Levels of Education (Levels  0-8),Ireland,%,10.8
Annual unemployment rate,2023,15 - 24 years,Female,Levels of Education (Levels  0-8),Ireland,%,9.6
Annual unemployment rate,2023,25 - 54 years,Male,Levels of Education (Levels  0-8),Ireland,%,3.7
Annual unemployment rate,2023,25 - 54 years,Female,Levels of Education (Levels  0-8),Ireland,%,3.3
Annual unemployment rate,2023,55 - 74 years,Male,Levels of Education (Levels  0-8),Ireland,%,2.1
Annual unemployment rate,2023,55 - 74 years,Female,Levels of Education (Levels  0-8),Ireland,%,3.7
Annual unemployment rate,2024,15 - 24 years,Male,Levels of Education (Levels  0-8),Ireland,%,13.4
Annual unemployment rate,2024,15 - 24 years,Female,Levels of Education (Levels  0-8),Ireland,%,11.2
Annual unemployment rate,2024,25 - 54 years,Male,Levels of Education (Levels  0-8),Ireland,%,3.5
Annual unemployment rate,2024,25 - 54 years,Female,Levels of Education (Levels  0-8),Ireland,%,3.5
Annual unemployment rate,2024,55 - 74 years,Male,Levels of Education (Levels  0-8),Ireland,%,2.4
